regional stations: orinoquia,ele,lon,lat,DV,HR,NUB,PRE,RDIR,T,VV,AVG
STA ROSA AUTOM  ,1898,-75.635638888889,4.846861111111,0,0,0,0,0.705,0,0.573,0.18
CHINAVITA AUTOMATICA ,2012,-73.350388888889,5.21925,0,0,0,0,0.428,0.249,0.441,0.16
LA MARTINICA AUTOMATICA ,178,-75.229055555556,4.402,0,0,0,0,0.984,0,0.059,0.15
APTO EL EDEN - AUTOM ,1229,-75.766388888889,4.454722222222,0,0,0,0,0.253,0,0.252,0.07
VOLCAN CHILES AUTOMATICA ,4042,-77.921222222222,0.846583333333,0,0,0,0,0,0.321,0.088,0.06
ALTAQUER AUTOMATICA ,101,-78.0925,1.248333333333,0,0,0,0,0.214,0,0.118,0.05
BOSQUE INTERVENIDO   ,2944,-73.846638888889,4.664888888889,0,0,0,0,0,0,0.17,0.02
APTO G L VALENCIA ,1752,-76.60875,2.452888888889,0.002,0.023,0.025,0,0,0.024,0.004,0.01
LAGUNA LA PLAZA AUTOMATICA ,4378,-72.282016666667,6.362,0,0,0,0,0,0,0.077,0.01
APTO G ARTUNDUAGA ,244,-75.559555555556,1.589055555556,0.002,0.024,0.022,0,0,0.024,0.004,0.01
C.UNIV.AGROP-UDCA ,257,-74.049722222222,4.798638888889,0.002,0.015,0.017,0,0,0.015,0.003,0.01
SAN RAFAEL ,300,-74.8,4.283333333333,0.001,0.014,0.012,0,0,0.014,0.002,0.01
BASE AEREA MELGAR ,319,-74.636833333333,4.212222222222,0.004,0.001,0,0,0,0.024,0.004,0
APTO MARIQUITA ,475,-74.886388888889,5.209722222222,0.002,0.002,0.015,0,0,0.002,0.002,0
INMACULADA LA ,960,-75.9865,4.793833333333,0.001,0.001,0.012,0,0,0.001,0.002,0
APTO AGUAS CLARAS ,1435,-73.3575,8.315277777778,0.001,0,0.01,0,0,0,0.002,0
APTO OTU   ,643,-74.716305555556,7.01175,0,0,0,0,0,0,0,0
regional stations: pacifico,ele,lon,lat,DV,HR,NUB,PRE,RDIR,T,VV,AVG
UNGUIA AUTOM   ,14,-77.087861111111,8.036722222222,1.261,0,0,0,1.859,1.908,1.01,0.86
BIOTOPO AUTOMATICA ,512,-78.281611111111,1.408638888889,0,0,0,0,1.401,2.049,0.333,0.54
APTO GUAPI AUTOM  ,42,-77.89475,2.574416666667,0,0,0,0,3.252,0,0.211,0.49
PIE DE PATO AUTOM ,40,-76.973166666667,5.521083333333,0,0,0,0,1.735,1.295,0.316,0.48
CARMEN DEL DARIEN AUTOMATICA ,18,-76.977194444444,7.154333333333,0.235,0,0,0,1.153,1.258,0.236,0.41
GRANJA EL MIRA - AUTOM ,16,-78.695583333333,1.550194444444,0,0,0,0,0.396,0,0.177,0.08
APTO BUENAVENTURA   ,28,-76.992388888889,3.820111111111,0.001,0.014,0.015,0,0,0.015,0.002,0.01
TUMACO AUTOMATICA ,0,-78.730277777778,1.819305555556,0.002,0.006,0.013,0,0,0.013,0.002,0.01
PANAMERICANA ,4,-77.404444444444,6.223333333333,0.001,0.008,0.014,0,0,0.008,0.002,0
