,stationcode,nombre,lat,lon,alt
0,35025090,BOSQUE INTERVENIDO   [35025090],4.664888888889,-73.846638888889,2944
,variable_name,variable_count,variable_expected,percent_records,inside_range,percent_inside,startdate,enddate
,HR,10279,65862,0.16,10259,1,02/05/2008 08:00:00,06/11/2015 14:00:00
,DV,10279,65862,0.16,6612,0.64,02/05/2008 08:00:00,06/11/2015 14:00:00
,VV,10279,65862,0.16,10259,1,02/05/2008 08:00:00,06/11/2015 14:00:00
,NUB,10279,65862,0.16,9898,0.96,02/05/2008 08:00:00,06/11/2015 14:00:00
,PR,10279,65862,0.16,0,0,02/05/2008 08:00:00,06/11/2015 14:00:00
,TS,10279,65862,0.16,10264,1,02/05/2008 08:00:00,06/11/2015 14:00:00
34,23085270,A.J.M. CORDOVA   [23085270],6.168666666667,-75.425916666667,2157
,variable_name,variable_count,variable_expected,percent_records,inside_range,percent_inside,startdate,enddate
,VV,178379,195010,0.91,178367,1,13/06/2014 13:20:00,26/02/2018 19:00:00
,DV,176326,194590,0.91,176324,1,13/06/2014 13:20:00,23/02/2018 21:00:00
,RS,30718,32110,0.96,30718,1,27/06/2014 12:00:00,24/02/2018 10:00:00
,HR,30886,32518,0.95,30886,1,13/06/2014 14:00:00,27/02/2018 12:00:00
,PR,150082,195022,0.77,150069,1,13/06/2014 13:20:00,26/02/2018 21:00:00
35,803610,FABIO ALBERTO LEON BENTLEY,1.254,-70.234,207.3
,variable_name,variable_count,variable_expected,percent_records,inside_range,percent_inside,startdate,enddate
,TS,99,87382,0,93,0.94,04/05/2008 14:00:00,23/04/2018 12:00:00
,VV,99,87382,0,77,0.78,04/05/2008 14:00:00,23/04/2018 12:00:00
,HR,99,87382,0,91,0.92,04/05/2008 14:00:00,23/04/2018 12:00:00
,PR,99,87382,0,0,0,04/05/2008 14:00:00,23/04/2018 12:00:00
,NUB,99,87382,0,89,0.9,04/05/2008 14:00:00,23/04/2018 12:00:00
,DV,99,87382,0,29,0.29,04/05/2008 14:00:00,23/04/2018 12:00:00
36,17035010,SERRANILLA AUTOMATICA [17035010],15.7975,-79.852222222222,3
,variable_name,variable_count,variable_expected,percent_records,inside_range,percent_inside,startdate,enddate
,VV,5314,94211,0.06,5117,0.96,30/05/2007 08:00:00,26/02/2018 19:30:00
,DV,6449,94142,0.07,6176,0.96,30/05/2007 08:00:00,23/02/2018 22:30:00
,HR,3968,94722,0.04,3941,0.99,09/05/2007 17:00:00,27/02/2018 11:30:00
,VV,0,0,NaN,0,NaN,01/01/0001 00:00:00,01/01/0001 00:00:00
,RS,3937,99476,0.04,3498,0.89,20/10/2006 09:59:00,24/02/2018 06:30:00
,PR,37,556878,0,37,1,11/05/2007 07:00:00,11/12/2017 12:00:00
,DV,0,0,NaN,0,NaN,01/01/0001 00:00:00,01/01/0001 00:00:00
,PR,0,0,NaN,0,NaN,01/01/0001 00:00:00,01/01/0001 00:00:00
,TS,1270,94618,0.01,1270,1,09/05/2007 17:00:00,23/02/2018 03:30:00
37,26015010,EL TABLAZO AUTOM  [26015010],2.474833055556,-76.581293611111,1837
,variable_name,variable_count,variable_expected,percent_records,inside_range,percent_inside,startdate,enddate
,VV,539239,592021,0.91,515742,0.96,25/11/2006 11:50:00,26/02/2018 18:00:00
,DV,530282,591601,0.9,529219,1,25/11/2006 11:50:00,23/02/2018 20:00:00
,RS,88465,98613,0.9,88459,1,25/11/2006 12:00:00,24/02/2018 09:00:00
,PR,54277,60803,0.89,54277,1,31/12/2016 14:10:00,26/02/2018 20:00:00
,HR,88584,98687,0.9,88577,1,25/11/2006 12:00:00,27/02/2018 11:00:00
,RS,0,0,NaN,0,NaN,01/01/0001 00:00:00,01/01/0001 00:00:00
38,21206950,PMO GUACHENEQUE AUTOMATICA [21206950],5.236055555556,-73.525083333333,2300
